Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De-Energization,month,days,year
SAUNDERS,SCE Chimney Flats,16.2,47.2,27/44,14.4,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
SAND CANYON,SCE Magic Mtn Truck Trail,26,50.9,31/46,12.98,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ANACONDA,SCE Golden Valley,23.8,42.2,31/42,13.47,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
GLASSCOCK,SCE Barnes St,25.1,41.7,31/45,12.92,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
PHEASANT,Banning (RAWS) BNJC1,25,43,31/45,14.43,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
TIMBER CANYON,SCE Toland Park,22.4,43.7,31/46,12.96,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
BOOTLEGGER,SCE Acton Canyon,24.5,45.1,31/46,12.44,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ZONE,SCE Somis,23.9,41.6,31/46,12.95,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
COBRA,SCE Solemint Mtwy,32.1,45.5,31/42,13.47,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ESTABAN,SCE Hondo Barranca Rd,18.2,40.6,31/45,12.95,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CASTRO,SCE Bear Canyon,19.9,42.8,30/46,12.99,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
HILLFIELD,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ARLENE,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
RACER,SCE Solemint Mtwy,36.6,51.7,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
TAPO,SCE Iron Trough Canyon,20.19,42.6,31/46,12.97,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
MIDDLE ROAD,SCE Williams Canyon Rd,14.6,38.5,26/42,12.97,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
DAVENPORT,SCE Vasquez Canyon Rd,17.5,42.2,31/46,14.54,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CLARINET,SCE Whitaker Ridge Rd,28.8,46.5,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
GILLIBRAND,SCE Valley View,15.7,42.7,31/46,12.91,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STRATHERN,SCE Moorpark College,23.1,47.1,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
DUKE,SCE Mount Davis,30.8,44.6,30/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
BUCKHORN,SCE Lechler Mtwy,26.4,41.8,31/46,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CANEBRAKE,SCE Pacific Crest Trail,27,50.8,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
HORSE MOUNTAIN,SCE Pacific Crest Trail,27,50.8,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
TAHQUITZ,SCE Apple Canyon,31,46.5,31/46,14.41,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
CORSAIR,SCE Red Mountain Rd,25,42.8,30/42,14.45,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
EASTER,SCE Ramona/ Hwy79,23.4,42.7,29/41,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ENCHANTED,SCE Simi Valley Landfill,23.4,49.3,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
VERA CRUZ,SCE Carbon Canyon,25,36.7,28.04/42,12.95,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
REJADA,SCE Simi Valley Landfill,23.4,49.3,31/46,12.93,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
STEEL,SCE Badlands,23.7,45.1,30/43,12.94,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
SAVORY,SCE Ramona/ Hwy79,23.4,42.7,29/42,12.93,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
PATRICIA,SCE Matilija Reservoir,23.9,45.1,31/46,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STEEL,SCE Ramona/ Hwy79,27.1,42.3,30/43,12.94,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ESTABAN,SCE El Rio,19.7,40.5,31/45,12.95,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
FORTUNE,SCE State St,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
LAUDA,SCE State St,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STEARNS,SCE Eve Rd,19.6,45.5,31/46,12.91,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
Kuehner,SCE Eve Rd,19.6,45.5,31/46,12.91,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
GILMAN,SCE Massacre Canyon,20.2,41.5,31/45,12.97,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
NAPOLEON,SCE Lamb Canyon Landfall,28.9,45.2,31/45,12.98,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
PARINA,SCE West Point,16.8,38.3,28/36,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
FANO,SCE West Point,16.8,38.3,28/40,12.92,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
PASCAL,SCE Anza Rd,29.9,40,31/44,12.81,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CHAWA,SCE Anza Rd,29.9,40,31/46,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
LOPEZ,SCE Kagel Canyon,16.4,42.4,31/46,14.46,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
DE MILLE,SCE East Trail,17.8,36.9,31/46,12.91,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SOGGY,SCE Lakeview Ave E,26.4,40.6,28/40,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
VETERANS,SCE Pacoima Dam,16.5,45.7,31/46,14.4,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ENERGY,SCE West Woolsey Canyon,24.5,40.7,31/46,12.99,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
THACHER,SCE Thacher Canyon,12.6,45.3,29/46,13.92,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
THACHER,SCE Thacher Canyon,12.6,45.3,29/46,13.92,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SONOMA,SCE Freedom Rd,21,39.5,27.51/39.42,12.94,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
SANTORINI,SCE Archibald Ave,17.5,42.6,31/42,12.88,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
TAGGERT,SCE Crab Flats,34.6,49,31/46,12.32,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
BIANCO,SCE Cucamonga Canyon,19.2,39.9,31/40,12.88,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
TOWNSHIP,SCE Eve Rd,15.4,44.1,31/45,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
OAK KNOLL,SCE Crab Flats,34.6,49,31/46,12.14,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
RED BOX,CHILAO (CHOC1),31,52,31/46,13.42,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
LOCKNER,SCE Orchard/2 Rd,19.4,45.2,31/45,12.97,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
VARGAS,F0494 San Bernardino CSU SB,18,41,31/46,12.9,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ROS,SCE Joppe Ave,29.5,40.5,27/39,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
DARTMOUTH,SCE Soboba Rd,24.6,41.4,31/45,14.44,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CASSIDY,SCE Guardian St Hills,26.2,49.9,31/46,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
AMETHYST,SCE Deer Canyon,25.7,57.5,31/46,12.87,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ROUNDEL,SCE Elm Ave,29.5,44.1,31/44,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
PATRICIA,SCE Foothill Rd,16.7,45.4,31/46,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SAVORY,SCE Cottonwood/2,19.2,40.5,29/42,12.93,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
FINGAL,SCE Cabazon,28.8,39.2,31/46,12.09,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
DONLON,SCE Orchard/2 Rd,19.7,50.4,31/46,12.95,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
FERRARA,SCE San Antonio Canyon,15.2,39.6,31/46,14.2,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CAMP BALDY,SCE San Antonio Canyon,15.2,39.6,31/46,13.2,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ICE HOUSE,SCE San Antonio Canyon,15.2,39.6,31/46,12.34,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STORES,SCE Garcia Rd,29.8,45.8,31/46,14.44,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SANTORINI,SCE Cucamonga Canyon,22.3,41.8,31/42,12.88,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STUBBY,SCE Mias Canyon,27.6,47.7,31/46,14.43,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
WINERY,SCE Weber Valley,21.3,40,29/42,14.45,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ECHO,SCE Arrowhead Springs Rd,24.4,44.4,31/46,14.36,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SUTT,SCE Arrowhead Springs Rd,25,44.4,31/46,14.36,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
FOOTHILL,SCE San Dimas Reservoir,23.7,34.3,26/36,12.92,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
ECHO,SCE Arrowhead Springs Rd,26,43.3,31/46,14.36,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
GUNSITE,SCE Mias Canyon,27.6,47.7,31/46,12.13,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
IMPALA,SCE Lytle Creek Rd,25.7,57.4,31/46,12.78,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
NAPA,SCE Vector Sherman Rd,24.6,40.3,28/39,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
ALOLA #2,SCE E Fork Mias Canyon,13.9,40.9,31/44,14.28,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SNOW VALLEY,SCE Running Springs,21.3,50.3,31/46,12.17,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
SAND CANYON,SCE Oak Spring Canyon,23,38.3,31/46,12.98,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
STORES,SCE Malki/1 Rd,26.3,44.1,31/46,14.44,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
JONAGOLD,SCE Union St,14.6,42.2,28/39,12,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
NAPOLEON,SCE High St,23.7,44.6,31/45,12.98,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CUTHBERT,SCE Escondido Canyon,29,40.2,31/46,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
METTLER,SCE Golden Hills Blvd,20.3,33.3,23/37,12,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
CALSTATE,SCE Devil Canyon,39.7,50.6,31/46,12.79,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
OAK GLEN,SCE Pine Bench Rd,15.1,42.6,27/41,13.35,Exceeded Threshold Exceeded FPI,Dec,4-14,PSPS
CONDOR,SCE Bear Mountain 2,27.2,41.9,31/46,13.51,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
SHOVEL,SCE Acton,22.8,33.5,25/40,13.53,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
TUFA,SCE BODIE STATE PARK,29.7,36.6,31/46,13.94,High Wind Trend Exceeded FPI,Dec,4-14,PSPS
