Utility,Outage Start,Full Restoration,Outage Duration,Outage Days,Outage Hours,Circuit,Hftd,Total Customers Impacted,Residential Customers,Commercial/Industrial Customers,Medical Baseline Customers,Other Customers,Residential,Commercial,Medical,Other
SCE,2019-10-10 11:45:00,2019-10-11 19:15:00,"1 days,7 hrs,30 min",1.3125,31.5,METTLER,Tier 3,520.0,491.0,0.0,15.0,0.0,True,False,True,False
SCE,2019-10-10 11:47:00,2019-10-11 09:09:00,"0 days,21 hrs,22 min",0.890277777776646,21.366666666639503,DINELY,Tier 3,2.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-10 13:04:00,2019-10-11 19:46:00,"1 days,6 hrs,42 min",1.2791666666671517,30.70000000001164,BOUQUET,Tier 3,91.0,85.0,0.0,1.0,0.0,True,False,True,False
SCE,2019-10-10 13:47:00,2019-10-11 01:14:00,"0 days,11 hrs,27 min",0.4770833333313931,11.449999999953434,ESTABAN,Tier 2/Tier 3,2127.0,1978.0,0.0,51.0,0.0,True,False,True,False
SCE,2019-10-10 15:07:00,2019-10-11 04:35:00,"0 days,13 hrs,28 min",0.5611111111065838,13.466666666558012,STEEL,Tier 2/Tier 3,34.0,11.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 16:23:00,2019-10-12 11:02:00,"1 days,18 hrs,39 min",1.7770833333343035,42.65000000002328,BALCOM,Tier 2/Tier 3,1512.0,1452.0,0.0,12.0,0.0,True,False,True,False
SCE,2019-10-10 16:43:00,2019-10-10 23:03:00,"0 days,6 hrs,20 min",0.26388888889050577,6.333333333372138,WHITECLIFF,Tier 3,2778.0,2681.0,0.0,43.0,0.0,True,False,True,False
SCE,2019-10-10 18:23:00,2019-10-10 22:04:00,"0 days,3 hrs,41 min",0.15347222222044365,3.6833333332906477,BARRINGTON,Tier 2/Tier 3,628.0,571.0,0.0,8.0,0.0,True,False,True,False
SCE,2019-10-10 21:42:00,2019-10-11 11:34:00,"0 days,13 hrs,52 min",0.577777777776646,13.866666666639503,TAHQUITZ,Tier 3,134.0,122.0,0.0,2.0,0.0,True,False,True,False
SCE,2019-10-10 22:18:00,2019-10-11 16:45:00,"0 days,18 hrs,27 min",0.7687499999956344,18.449999999895226,TIMBER CANYON,Tier 2/Tier 3,715.0,685.0,0.0,5.0,0.0,True,False,True,False
SCE,2019-10-10 22:23:00,2019-10-11 15:09:00,"0 days,16 hrs,46 min",0.6986111111109494,16.766666666662786,MCKEVETT (FED BY CASTRO),Tier 3,291.0,284.0,0.0,1.0,0.0,True,False,True,False
SCE,2019-10-10 22:23:00,2019-10-12 10:17:00,"1 days,11 hrs,54 min",1.4958333333343035,35.90000000002328,CASTRO,Tier 3,2381.0,2303.0,0.0,20.0,0.0,True,False,True,False
SCE,2019-10-10 23:43:00,2019-10-11 17:15:00,"0 days,17 hrs,32 min",0.7305555555576575,17.53333333338378,GUITAR,Tier 3,255.0,134.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-11 00:11:00,2019-10-12 14:23:00,"1 days,14 hrs,12 min",1.5916666666671517,38.20000000001164,CALGROVE,Tier 3,18.0,4.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-11 02:40:00,2019-10-11 15:04:00,"0 days,12 hrs,24 min",0.5166666666700621,12.40000000008149,RAINBOW,Tier 2/Tier 3,19.0,17.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-11 10:56:00,2019-10-11 19:33:00,"0 days,8 hrs,37 min",0.35902777777664596,8.616666666639503,FROZEN (FED BY PG&E),Tier 2,1.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-11 17:50:00,2019-10-11 22:15:00,"0 days,4 hrs,25 min",0.18402777778101154,4.416666666744277,CAIN RANCH (FED BY DWP),Tier 2,2.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-16 22:01:00,2019-10-17 23:23:00,"1 days,1 hrs,22 min",1.0569444444481633,25.36666666675592,AUTUMN 12KV,,119.0,98.0,21.0,0.0,0.0,True,True,False,False
SCE,2019-10-16 22:01:00,2019-10-17 23:23:00,"1 days,1 hrs,22 min",1.0569444444481633,25.36666666675592,FALLS 2.4KV,,13.0,12.0,1.0,0.0,0.0,True,True,False,False
SCE,2019-10-17 04:01:00,2019-10-17 18:41:00,"0 days,14 hrs,40 min",0.6111111111094942,14.666666666627862,DYNAMO 16KV,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-17 13:58:00,2019-10-18 12:30:00,"0 days,22 hrs,32 min",0.9388888888934162,22.533333333441988,CANEBRAKE 12KV,,61.0,60.0,1.0,0.0,0.0,True,True,False,False
SCE,2019-10-17 13:58:00,2019-10-18 12:30:00,"0 days,22 hrs,32 min",0.9388888888934162,22.533333333441988,HORSE MOUNTAIN 2.4,,1.0,0.0,1.0,0.0,0.0,False,True,False,False
