StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc,Latitude,Longitude
123,Suisun Valley,Cordelia,North Central Region Office,Solano,8/18/1994,7/11/2010,False,True,35,Grass,38º14'2N ,-122º7'1W ,['94585'],, 38.233972, -122.116990
124,Panoche,Firebaugh,South Central Region Office,Fresno,7/27/1995,12/31/2050,True,True,183,Grass,36º53'24N ,-120º43'53W ,"['95043', '93622']",, 36.890056, -120.731410
125,Arvin-Edison,Arvin,South Central Region Office,Kern,3/22/1995,12/31/2050,True,True,500,Grass,35º12'20N ,-118º46'42W ,['93203'],, 35.205583, -118.778410
126,San Benito,Hollister,South Central Region Office,San Benito,6/9/1994,12/31/2050,True,True,340,Grass,36º51'17N ,-121º21'46W ,"['95024', '95023']",, 36.854833, -121.362750
127,Salton Sea West,Salton City,Southern Region Office,Imperial,11/21/1994,9/16/2012,False,False,-225,Bare,33º19'40N ,-115º56'41W ,['92275'],, 33.327703, -115.944840
128,Salton Sea East,Niland,Southern Region Office,Imperial,11/17/1994,8/9/2013,False,False,-226,Bare,33º13'13N ,-115º34'48W ,['92257'],, 33.220186, -115.580120
129,Pajaro,Pajaro,South Central Region Office,Monterey,9/13/1995,12/31/2050,True,True,65,Grass,36º54'10N ,-121º44'31W ,"['95077', '95076', '95075', '95019', '95018']",, 36.902778, -121.741930
130,Temecula East,Temecula,Southern Region Office,Riverside,7/1/1995,11/5/1996,False,True,1500,Grass,33º33'23N ,-117º2'13W ,"['92593', '92591', '92590', '92589']",, 33.556389, -117.036940
131,Fair Oaks,Fair Oaks,North Central Region Office,Sacramento,4/18/1997,12/31/2050,True,True,265,Grass,38º39'0N ,-121º13'8W ,"['95628', '95038', '95037']",, 38.649964, -121.218870
132,Morgan Hill,Morgan Hill,North Central Region Office,Santa Clara,4/28/1997,5/1/2008,False,True,385,Grass,37º9'6N ,-121º38'11W ,"['95038', '95037']",, 37.151533, -121.636320
133,Glendale,Glendale,Southern Region Office,Los Angeles,8/7/1996,1/5/2015,False,True,1111,Grass,34º11'48N ,-118º13'49W ,"['91226', '91225', '91224', '91222', '91221', '91214', '91210', '91208', '91207', '91206', '91205', '91204', '91203', '91202', '91201']",, 34.196531, -118.2302
134,Barstow NE,Barstow,Southern Region Office,San Bernardino,1/8/1997,10/30/2013,False,True,2040,Grass,34º53'3N ,-116º58'47W ,"['92312', '92311', '92310']",, 34.884267, -116.979860
135,Blythe NE,Blythe,Southern Region Office,Riverside,1/16/1997,12/31/2050,True,False,275,Grass,33º39'46N ,-114º33'29W ,"['92228', '92227', '92226', '92225']",, 33.662869, -114.558110
136,Oasis,Oasis/Indio,Southern Region Office,Riverside,1/7/1997,12/31/2050,True,True,12,Grass,33º31'25N ,-116º9'21W ,['92274'],, 33.523694, -116.155750
137,Temecula East II,Temecula,Southern Region Office,Riverside,2/20/1997,9/20/2011,False,True,1536,Grass,33º33'29N ,-117º1'54W ,"['92592', '92591', '92590', '92589']",, 33.558017, -117.031660
138,Famoso,Macfarland,South Central Region Office,Kern,4/9/1997,12/29/2015,False,True,415,Grass,35º36'11N ,-119º12'45W ,['93250'],, 35.603111, -119.212590
139,Winters,Winters,North Central Region Office,Solano,6/15/1998,12/31/2050,True,False,136,Grass,38º30'5N ,-121º58'43W ,['95694'],, 38.501258, -121.978530
140,Twitchell Island,Rio Vista,North Central Region Office,Sacramento,10/8/1997,12/31/2050,True,True,0,Grass,38º7'18N ,-121º40'28W ,"['94571', '95641']",, 38.121739, -121.674455
141,Mecca,Mecca,Southern Region Office,Riverside,5/5/1998,3/11/2010,False,True,-180,Grass,33º32'13N ,-115º59'34W ,['92254'],, 33.536894, -115.9928
142,Orange Cove,Orange Cove,South Central Region Office,Fresno,1/1/1999,12/31/2050,True,True,450,Grass,36º43'16N ,-119º23'21W ,"['93666', '93647', '93618', '93615', '93654', '93646']",, 36.721083, -119.389030
143,San Juan Valley,Hollister,South Central Region Office,San Benito,1/1/1998,12/31/2050,True,True,245,Grass,36º49'22N ,-121º28'4W ,"['95045', '93257']",, 36.822861, -121.467870
144,Petaluma East,Petaluma,North Central Region Office,Sonoma,8/25/1999,12/31/2050,True,True,97,Grass,38º15'59N ,-122º36'59W ,"['94999', '94975', '94955', '94954', '94953', '94952']",, 38.266428, -122.616460
145,Madera,Madera,South Central Region Office,Madera,5/13/1998,3/27/2013,False,True,230,Grass,37º1'0N ,-120º11'11W ,"['93657', '93639', '93638', '93637']",, 37.016528, -120.186390
146,Belridge,Lost Hills,South Central Region Office,Kern,10/9/1998,12/31/2050,True,True,410,Grass,35º30'21N ,-119º41'28W ,['93206'],, 35.505833, -119.691140
147,Otay Lake,Chula Vista,Southern Region Office,San Diego,4/15/1999,12/31/2050,True,True,580,Grass,32º37'42N ,-116º56'21W ,"['91921', '91915', '91914', '91913', '91912', '91911', '91910', '91909', '90910']",, 32.628208, -116.939280
148,Merced,Merced,South Central Region Office,Merced,1/4/1999,12/31/2050,True,True,200,Grass,37º18'51N ,-120º23'12W ,"['95340', '95365', '95344', '95341', '95333']",, 37.314139, -120.3867
149,Oakland Foothills,Oakland,North Central Region Office,Alameda,3/25/1999,8/13/2013,False,False,145,Grass,37º46'50N ,-122º10'49W ,['94613'],, 37.780653, -122.180150
150,Miramar,La Jolla,Southern Region Office,San Diego,4/23/1999,12/31/2050,True,True,445,Grass,32º53'9N ,-117º8'35W ,"['92093', '92092', '92039', '92038', '92037']",, 32.885847, -117.143140
151,Ripley,Blythe,Southern Region Office,Riverside,12/19/1998,12/31/2050,True,True,251,Alfalfa,33º31'56N ,-114º38'2W ,"['92228', '92227', '92226', '92225']",, 33.532222, -114.633890
152,Camarillo,Camarillo,Southern Region Office,Ventura,1/21/2000,12/31/2050,True,True,130,Grass,34º13'10N ,-118º59'33W ,"['93012', '93011', '93010']",, 34.219386, -118.992440
153,Escondido SPV,Escondido,Southern Region Office,San Diego,2/1/1999,12/31/2050,True,True,390,Grass,33º4'52N ,-116º58'33W ,"['92046', '92033', '92030', '92029', '92027', '92026', '92025']",, 33.081050, -116.9757
154,Salton Sea North,North Shore,Southern Region Office,Riverside,10/15/1998,10/30/2003,False,False,-200,Bare,33º30'14N ,-115º54'56W ,['92257'],, 33.503889, -115.915560
155,Bryte (experimental),West Sacramento,North Central Region Office,Yolo,12/10/1998,12/31/2050,True,False,40,Bare,38º35'57N ,-121º32'25W ,"['95799', '95798', '95691', '95605']",, 38.599158, -121.540410
156,Oxnard,Oxnard,Southern Region Office,Ventura,10/12/2001,4/27/2017,False,False,48,Grass,34º14'1N ,-119º11'49W ,"['93042', '93044', '93043', '93041', '93035', '93034', '93032', '93031', '93030']",, 34.233639, -119.196920
157,Point San Pedro,San Rafael,North Central Region Office,Marin,10/11/2002,12/31/2050,True,True,5,Grass,37º59'44N ,-122º28'4W ,['94925'],, 37.995478, -122.467656
158,Bennett Valley,Santa Rosa,North Central Region Office,Sonoma,10/1/2000,12/31/2050,True,True,270,Grass,38º25'10N ,-122º39'31W ,"['95409', '95408', '95407', '95406', '95405', '95404', '95403', '95402', '95401']",, 38.419439, -122.658720
159,Monrovia,Monrovia,Southern Region Office,Los Angeles,10/15/1999,12/31/2050,True,False,595,Grass,34º8'47N ,-117º59'9W ,"['91017', '91016']",, 34.146372, -117.9858
160,San Luis Obispo West,San Luis Obispo,Southern Region Office,San Luis Obispo,11/1/2000,12/31/2050,True,True,285,Grass,35º20'7N ,-120º44'9W ,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93402', '93401']",, 35.335261, -120.735880
161,Patterson,Patterson,South Central Region Office,Stanislaus,8/23/1999,10/12/2017,False,False,183,Grass,37º26'20N ,-121º8'19W ,"['95387', '95313', '95363']",, 37.438944, -121.138510
162,Indio,Indio,Southern Region Office,Riverside,12/24/1999,2/26/2006,False,True,40,Grass,33º44'46N ,-116º15'28W ,"['92203', '92202', '92201']",, 33.746111, -116.257780
163,Atascadero,Atascadero,Southern Region Office,San Luis Obispo,11/21/2000,12/31/2050,True,True,885,Grass,35º28'21N ,-120º38'53W ,"['93465', '93453', '93423', '93422']",, 35.472556, -120.648140
164,Valley of the Moon,Sonoma,North Central Region Office,Sonoma,4/1/2000,12/18/2001,False,True,155,Grass,38º18'40N ,-122º29'55W ,"['95676', '95433', '95416']",, 38.311144, -122.498660
165,Sisquoc,Santa Maria,Southern Region Office,Santa Barbara,4/26/2000,12/31/2050,True,True,536,Grass,34º50'31N ,-120º12'46W ,"['93458', '93457', '93456', '93455', '93454']",, 34.841878, -120.212740
166,Lodi West,Lodi,North Central Region Office,San Joaquin,9/13/2000,3/20/2015,False,True,25,Alfalfa,38º7'48N ,-121º23'12W ,"['95632', '95258', '95256', '95220', '95242', '95241', '95240']",, 38.129933, -121.386590
167,Tracy,Tracy,North Central Region Office,San Joaquin,9/1/2001,5/31/2017,False,True,82,Grass,37º43'33N ,-121º28'32W ,['95376'],, 37.725881, -121.475520
168,Denair,Denair,South Central Region Office,Stanislaus,8/28/2002,4/9/2009,False,True,140,Grass,37º33'11N ,-120º46'45W ,['95316'],, 37.553111, -120.779280
169,Porterville,Porterville,South Central Region Office,Tulare,8/2/2000,12/31/2050,True,True,400,Grass,36º4'55N ,-119º5'36W ,"['93270', '93267', '93258', '93257', '93247', '93218']",, 36.082056, -119.093420
170,Concord,Concord,North Central Region Office,Contra Costa,4/6/2001,12/31/2050,True,True,35,Grass,38º0'55N ,-122º1'13W ,"['94529', '94527', '94524', '94523', '94522', '94521', '94520', '94519', '94518']",, 38.015372, -122.020280
171,Union City,Union City,North Central Region Office,Alameda,2/5/2001,12/31/2030,True,True,16,Grass,37º35'56N ,-122º3'12W ,"['94536', '94537', '94538', '94539', '94555', '94587', '94544', '94557']",, 37.598758, -122.053230
172,Lost Hills NW,Lost Hills,South Central Region Office,Kern,7/26/2000,7/1/2003,False,False,225,Grass,35º44'0N ,-119º44'33W ,['93249'],, 35.733222, -119.742550
173,Torrey Pines,La Jolla,Southern Region Office,San Diego,11/29/2000,12/31/2050,True,True,335,Grass,32º54'7N ,-117º15'2W ,"['92093', '92092', '92039', '92038', '92037']",, 32.901867, -117.250460
174,Long Beach,Long Beach,Southern Region Office,Los Angeles,9/22/2000,12/31/2050,True,True,17,Grass,33º47'55N ,-118º5'41W ,"['90899', '90888', '90853', '90848', '90847', '90846', '90845', '90842', '90840', '90835', '90834', '90833', '90832', '90831', '90822', '90814', '90813', '90810', '90809', '90808', '90807', '90806', '90805', '90804', '90803', '90802', '90801', '90749', '90747', '90746', '90745']",, 33.798697, -118.094790
175,Palo Verde II,Palo Verde,Southern Region Office,Imperial,1/11/2001,12/31/2050,True,True,230,Alfalfa,33º23'1N ,-114º43'9W ,['92266'],, 33.383697, -114.719210
176,La Quinta,Indio,Southern Region Office,Riverside,11/10/2000,9/26/2006,False,True,42,Grass,33º41'8N ,-116º18'20W ,"['92253', '92211', '92210', '92203', '92202', '92201']",, 33.685556, -116.305560
177,Watsonville West,Watsonville,South Central Region Office,Santa Cruz,11/30/2000,3/22/2006,False,True,212,Grass,36º54'0N ,-121º48'47W ,"['95077', '95076', '95075', '95019', '95018']",, 36.90, -121.813110
178,Moraga,Moraga,North Central Region Office,Contra Costa,2/27/2002,12/31/2050,True,True,510,Grass,37º50'15N ,-122º8'27W ,['94595'],, 37.837614, -122.140740
179,Winchester,Winchester,Southern Region Office,Riverside,2/7/2002,12/31/2050,True,True,1626,Grass,33º39'48N ,-117º5'36W ,"['92596', '92584', '92548']",, 33.663325, -117.093380
180,Westmorland West,Westmorland,Southern Region Office,Imperial,11/8/2001,7/21/2003,False,True,-218,Alfalfa,33º7'27N ,-115º48'12W ,['92281'],, 33.124167, -115.803330
181,Westmorland North,Imperial,Southern Region Office,Imperial,4/1/2004,6/17/2050,True,True,-200,Alfalfa,33º4'43N ,-115º39'38W ,"['92227', '92233', '92251', '92281']",, 33.078611, -115.660560
182,Delano,Delano,South Central Region Office,Tulare,3/21/2002,12/31/2050,True,True,300,Grass,35º49'59N ,-119º15'21W ,"['93261', '93250', '93219', '93216', '93215', '93201']",, 35.8330, -119.255960
183,Owens Lake North,Keeler,Southern Region Office,Inyo,12/16/2002,12/31/2050,True,False,3684,Bare,36º29'19N ,-117º55'10W ,['93512'],, 36.488611, -117.919440
184,San Diego II,San Diego,Southern Region Office,San Diego,3/1/2002,12/31/2050,True,True,377,Grass,32º43'46N ,-117º8'22W ,"['92199', '92198', '92197', '92196', '92195', '92194', '92193', '92192', '92191', '92187', '92186', '92184', '92182', '92179', '92178', '92177', '92176', '92175', '92174', '92173', '92172', '92171', '92170', '92169', '92168', '92167', '92166', '92165', '92164', '92163', '92162', '92161', '92160', '92159', '92158', '92155', '92154', '92153', '92152', '92150', '92149', '92147', '92145', '92144', '92143', '92142', '92140', '92139', '92138', '92137', '92136', '92135', '92134', '92133', '92132', '92131', '92130', '92129', '92128', '92127', '92126', '92125', '92124', '92123', '92122', '92121', '92120', '92119', '92118', '92117', '92116', '92115', '92114', '92113', '92112', '92111', '92110', '92109', '92108', '92107', '92106', '92105', '92104', '92103', '92102', '92101']",, 32.729578, -117.139340
185,UC-Mex,Calexico,Southern Region Office,Imperial,1/18/2002,8/28/2002,False,True,39,Grass,32º24'40N ,-115º11'50W ,['92243'],, 32.411111, -115.197220
186,UC-San Luis,Calexico,Southern Region Office,Imperial,4/16/2002,1/25/2016,False,False,48,Grass,32º29'34N ,-114º49'34W ,['92243'],, 32.492658, -114.826160
187,Black Point,Novato,North Central Region Office,Marin,6/1/2003,12/31/2050,True,True,1,Grass,38º5'27N ,-122º31'36W ,"['94945', '94949']",, 38.090933, -122.5267
188,Madera II,Madera,South Central Region Office,Madera,3/27/2013,6/23/2018,False,True,242,Grass,37º1'12N ,-120º9'0W ,"['93610', '93637', '93638', '93639']",, 37.02, -120.15
189,Owens Lake South,Cartago,Southern Region Office,Inyo,4/1/2003,12/31/2050,True,False,3682,Grass,36º21'31N ,-117º56'38W ,['93512'],, 36.358628, -117.943870
190,Five Points South West,Five Points,South Central Region Office,Fresno,7/2/2003,12/4/2019,False,False,270,Grass,36º22'55N ,-120º13'47W ,['93624'],, 36.382028, -120.229850
191,Pleasanton,Pleasanton,North Central Region Office,Alameda,5/1/2004,12/31/2050,True,True,335,Grass,37º39'50N ,-121º53'6W ,['94588'],, 37.663969, -121.885030
192,Lake Arrowhead,Lake Arrowhead,Southern Region Office,San Bernardino,3/20/2004,12/31/2050,True,True,5148,Grass,34º15'21N ,-117º13'5W ,['92352'],, 34.255942, -117.218140
193,Pacific Grove,Pacific Grove,South Central Region Office,Monterey,10/26/2011,12/31/2050,True,True,50,Grass,36º38'0N ,-121º56'5W ,"['93950', '93953', '93942', '93943', '93955']",, 36.633222, -121.934860
194,Oakdale,Oakdale,South Central Region Office,Stanislaus,11/2/2004,12/31/2050,True,True,165,Grass,37º43'38N ,-120º51'3W ,['95361'],, 37.727194, -120.850860
195,Auburn,Auburn,North Central Region Office,Placer,2/16/2005,12/31/2050,True,True,935,Grass,38º53'15N ,-121º6'10W ,"['95603', '95604']",, 38.887603, -121.102910
196,Esparto,Esparto,North Central Region Office,Yolo,4/15/2005,7/15/2017,False,True,174,Grass,38º41'30N ,-122º0'50W ,"['95607', '95627', '95653', '95695']",, 38.691786, -122.013810
197,Palmdale,Palmdale,Southern Region Office,Los Angeles,4/6/2005,12/31/2050,True,True,2550,Grass,34º36'54N ,-118º1'57W ,"['93534', '93535', '93543', '93550', '93552', '93591']",, 34.614981, -118.032490
198,Santa Paula,Santa Paula,Southern Region Office,Ventura,3/30/2005,12/31/2050,True,True,218,Grass,34º19'29N ,-119º6'18W ,['93060'],, 34.324639, -119.104880
199,Big Bear Lake,Big Bear Lake,Southern Region Office,San Bernardino,7/19/2005,12/31/2050,True,True,6910,Grass,34º14'15N ,-116º51'57W ,['92315'],, 34.237419, -116.865710
200,Indio 2,Indio,Southern Region Office,Riverside,5/16/2006,12/31/2050,True,True,40,Grass,33º44'55N ,-116º15'10W ,"['92201', '92202', '92203', '92211']",, 33.748586, -116.2529
201,UC-Andrade,Calexico,Southern Region Office,Imperial,1/1/2006,10/1/2015,False,True,120,Grass,32º40'28N ,-115º2'40W ,['92250'],, 32.674353, -115.044380
202,Nipomo,Nipomo,Southern Region Office,San Luis Obispo,6/27/2006,12/31/2050,True,True,255,Grass,35º1'42N ,-120º33'36W ,"['93420', '93444']",, 35.028281, -120.560030
203,Alpaugh,Alpaugh,South Central Region Office,Tulare,7/11/2006,11/16/2017,False,False,210,Grass,35º51'45N ,-119º30'13W ,"['93201', '93212', '93219', '93280']",, 35.862583, -119.503570
204,Santa Clarita,Santa Clarita,Southern Region Office,Los Angeles,12/4/2006,12/31/2050,True,True,1410,Grass,34º25'35N ,-118º31'3W ,['91350'],, 34.426361, -118.517580
205,Coalinga,Coalinga,South Central Region Office,Fresno,3/25/2010,12/31/2050,True,True,730,Grass,36º10'33N ,-120º21'37W ,['93210'],, 36.175833, -120.360270
206,Denair II,Denair,South Central Region Office,Stanislaus,4/9/2009,12/31/2050,True,True,150,Grass,37º32'45N ,-120º45'16W ,"['95303', '95316', '95323', '95326', '95382']",, 37.545869, -120.754530
207,Borrego Springs,Borrego Springs,Southern Region Office,San Diego,1/4/2008,12/31/2050,True,True,578,Grass,33º16'6N ,-116º21'54W ,['92004'],, 33.268447, -116.365050
208,La Quinta II,La Quinta,Southern Region Office,Riverside,2/6/2007,12/31/2050,True,True,36,Grass,33º40'41N ,-116º16'23W ,"['92253', '92211', '92210', '92203', '92202', '92201']",, 33.678186, -116.272990
209,Watsonville West II,Watsonville,South Central Region Office,Santa Cruz,6/13/2007,12/31/2050,True,True,240,Grass,36º54'47N ,-121º49'25W ,"['95077', '95076', '95075', '95019', '95018']",, 36.913083, -121.823650
210,Carmel,Carmel,South Central Region Office,Monterey,7/22/2008,12/31/2050,True,True,75,Grass,36º32'27N ,-121º52'55W ,"['93923', '93921', '93953', '93922', '93924']",, 36.540889, -121.881960
211,Gilroy,Gilroy,North Central Region Office,Santa Clara,9/1/2009,12/31/2050,True,True,185,Grass,37º0'54N ,-121º32'13W ,['95020'],, 37.015026, -121.537040
212,Hastings Tract East,Dixon,North Central Region Office,Solano,10/20/2009,12/31/2050,True,True,7,Grass,38º16'41N ,-121º44'28W ,"['94571', '95620']",, 38.278056, -121.741110
213,El Cerrito,El Cerrito,North Central Region Office,Contra Costa,9/24/2013,12/31/2050,True,True,596,Grass,37º55'54N ,-122º18'10W ,"['94530', '94805', '94802', '94808', '94804', '94850', '94708', '94707', '94706', '94806']",, 37.931539, -122.302714
214,Salinas South II,Salinas,South Central Region Office,Monterey,5/17/2013,12/31/2050,True,True,153,Grass,36º37'32N ,-121º32'16W ,"['93901', '93902', '93905', '93906', '93907', '93908', '93912', '93915', '93962']",, 36.625619, -121.537889
215,Chatsworth,Chadsworth,Southern Region Office,Los Angeles,9/1/2011,12/31/2050,True,True,1536,Grass,34º17'29N ,-118º34'12W ,"['91326', '91327', '91311', '91344', '91313', '91394']",, 34.291331, -118.570040
216,Arleta,Arleta,Southern Region Office,Los Angeles,9/8/2011,12/31/2050,True,True,980,Grass,34º15'22N ,-118º22'58W ,"['91040', '91331', '91352']",, 34.256111, -118.382780
217,Moorpark,Moorpark,Southern Region Office,Ventura,7/3/2014,12/31/2050,True,True,718,Grass,34º16'9N ,-118º50'58W ,"['91360', '91362', '93021', '93065']",, 34.269031, -118.849319
218,Thermal South,Thermal,Southern Region Office,Riverside,1/30/2010,12/31/2050,True,True,-150,Grass,33º35'44N ,-116º9'29W ,['92274'],, 33.595694, -116.158110
219,West Hills,West Hills,Southern Region Office,Los Angeles,9/6/2011,12/31/2050,True,True,926,Grass,34º12'51N ,-118º38'41W ,"['91303', '91304', '91306', '91308', '91311', '91367']",, 34.214197, -118.644770
220,Palmdale Central,Palmdale,Southern Region Office,Los Angeles,3/23/2011,12/31/2050,True,True,2630,Grass,34º35'32N ,-118º7'39W ,['93550'],, 34.592222, -118.1275
221,Cadiz Valley,Chambless,Southern Region Office,San Bernardino,11/1/2010,10/10/2050,True,True,155,Grass,34º30'49N ,-115º30'38W ,"['92304', '92332', '92338']",, 34.513611, -115.510560
222,Gerber South,Gerber,Northern Region Office,Tehama,8/13/2014,12/31/2050,True,True,246,Grass,40º1'44N ,-122º9'21W ,"['96035', '96055', '96078', '96080', '96090', '96092']",, 40.028778, -122.155750
223,North Hollywood,Universal City,Southern Region Office,Los Angeles,1/30/2018,5/28/2050,True,True,570,Grass,34º8'34N ,-118º21'59W ,"['91602', '91618', '91604']",, 34.142911, -118.366320
224,Shasta College,Redding,Northern Region Office,Shasta,1/1/2013,12/31/2050,True,True,592,Grass,40º37'48N ,-122º18'36W ,[''],, 40.63, -122.31
225,Scott Valley,Fort Jones,Northern Region Office,Siskiyou,4/1/2015,12/31/2050,True,True,2733,Grass,41º34'40N ,-122º50'17W ,[''],, 41.577778, -122.838125
226,Woodland,Woodland,North Central Region Office,Yolo,5/12/2011,12/31/2050,True,True,82,Grass,38º40'22N ,-121º48'42W ,"['95695', '95776', '95627']",, 38.672722, -121.811720
227,Plymouth,Plymouth,North Central Region Office,Amador,11/1/2010,12/31/2050,True,True,1520,Grass,38º30'30N ,-120º47'59W ,"['95669', '95629', '95685']",, 38.508333, -120.799720
228,Diamond Springs,Diamond Springs,North Central Region Office,El Dorado,9/29/2010,12/31/2050,True,True,2050,Grass,38º38'10N ,-120º47'35W ,"['95619', '95623', '95667', '95684']",, 38.636111, -120.793050
229,Laguna Seca,Monterey,South Central Region Office,Monterey,1/1/2011,12/31/2050,True,True,320,Grass,36º34'12N ,-121º47'11W ,"['93940', '93955', '93943']",, 36.570111, -121.7865
230,Santa Barbara II,Santa Barbara,Southern Region Office,Santa Barbara,1/10/2011,1/23/2018,False,False,440,Grass,34º24'20N ,-119º42'54W ,['93109'],, 34.405556, -119.7150
231,Lompoc,Lompoc,Southern Region Office,Santa Barbara,7/14/2010,12/31/2050,True,False,55,Grass,34º40'20N ,-120º30'47W ,"['93436', '93437', '93438']",, 34.672222, -120.513060
232,Santa Maria II,Santa Maria,Southern Region Office,Santa Barbara,4/1/2011,12/31/2050,True,False,215,Grass,34º54'48N ,-120º27'53W ,"['93454', '93458', '93955', '93456', '93457', '93455', '93429']",, 34.913472, -120.464780
233,Joshua Tree,Joshua Tree,Southern Region Office,San Bernardino,12/1/2011,12/31/2050,True,False,2483,Bare,34º8'17N ,-116º12'47W ,"['92252', '92278', '92284']",, 34.138147, -116.213190
234,Newberry Springs II,Newberry Springs,Southern Region Office,San Bernardino,2/25/2015,11/29/2020,True,True,1930,Grass,34º53'0N ,-116º48'37W ,"['92311', '92312', '92327', '92365', '92398']",, 34.883472, -116.810247
235,Verona,Nicolaus,North Central Region Office,Sutter,5/18/2012,12/31/2050,True,True,24,Alfalfa,38º47'53N ,-121º36'41W ,"['95659', '95668', '95676', '95836', '95645', '95697', '95776']",, 38.797944, -121.611360
236,Macdoel II,Macdoel,Northern Region Office,Siskiyou,4/16/2015,12/31/2050,True,True,4265,Grass,41º48'9N ,-121º59'46W ,"['96058', '96023']",, 41.802476, -121.996159
237,Temecula East III,Temecula,Southern Region Office,Riverside,11/1/2012,12/31/2050,True,True,1530,Grass,33º33'10N ,-117º2'36W ,"['92589', '92590', '92591', '92592', '92596', '92593', '92544', '92543']",, 33.552810, -117.043302
238,Moreno Valley,Moreno Valley,Southern Region Office,Riverside,4/19/2013,4/24/2018,False,True,1604,Grass,33º54'0N ,-117º10'12W ,"['92518', '92551', '92554', '92555', '92556']",, 33.90, -117.17
239,Hemet,Hemet,Southern Region Office,Riverside,1/22/2015,12/31/2050,True,True,1768,Grass,33º39'53N ,-116º57'18W ,"['92543', '92544', '92593', '92596', '92546', '92545']",, 33.664747, -116.955121
240,Perris - Menifee,Perris,Southern Region Office,Riverside,5/25/2013,12/31/2050,True,True,1421,Grass,33º45'36N ,-117º12'0W ,"['92548', '92570', '92572', '92584', '92585', '92586', '92587']",, 33.76, -117.20
241,San Clemente,San Clemente,Southern Region Office,Orange,7/28/2015,12/31/2050,True,True,224,Grass,33º27'45N ,-117º35'10W ,"['92672', '92673', '92675', '92693']",, 33.4625, -117.586111
242,Staten Island,Walnut Grove,North Central Region Office,San Joaquin,11/5/2015,12/31/2050,True,True,-10,Grass,38º11'33N ,-121º30'37W ,"['95686', '95242', '95641', '95690', '95680']",, 38.192397, -121.510261
243,Ryde,Walnut Grove,North Central Region Office,Sacramento,12/16/2015,12/31/2050,True,True,-10,Grass,38º14'59N ,-121º33'20W ,"['95690', '95680', '95615', '95641', '95686']",, 38.249622, -121.555528
244,Biggs,Biggs,Northern Region Office,Butte,6/18/2015,12/31/2050,True,True,72,Grass,39º23'12N ,-121º50'7W ,"['95917', '95920', '95932', '95948', '95970']",, 39.386632, -121.835278
245,Coto de Caza,Coto de Caza,Southern Region Office,Orange,10/7/2015,12/31/2050,True,True,846,Grass,33º37'18N ,-117º35'7W ,"['92678', '92679', '92691', '92692', '92694']",, 33.621667, -117.585278
246,Markleeville,Markleeville,North Central Region Office,Alpine,6/13/2014,12/31/2050,True,True,5517,Grass,38º46'24N ,-119º47'31W ,"['96120', '96133']",, 38.773409, -119.791930
247,Jersey Island,Oakley,North Central Region Office,Contra Costa,7/1/2016,12/31/2050,True,True,-12,Grass,38º2'0N ,-121º42'4W ,"['95219', '94511', '94571', '94561', '94513']",, 38.033386, -121.701247
248,Holt,Stockton,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,-3,Grass,37º55'55N ,-121º23'48W ,"['95206', '95234', '95203', '95219']",, 37.932072, -121.396661
249,Ripon,Manteca,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,20,Grass,37º45'20N ,-121º15'58W ,"['95337', '95304', '95330', '95336']",, 37.755597, -121.266153
250,Williams,Williams,Northern Region Office,Colusa,8/9/2016,12/31/2050,True,True,69,Grass,39º12'38N ,-122º10'8W ,"['95987', '95955', '95932', '95912']",, 39.210667, -122.168889
251,Highland,Highland,Southern Region Office,San Bernardino,10/10/2016,12/31/2050,True,True,1275,Grass,34º6'43N ,-117º11'9W ,"['92346', '92374']",, 34.112042, -117.1857
252,Soledad II,Soledad,South Central Region Office,Monterey,9/3/2016,12/31/2050,True,True,214,Grass,36º27'24N ,-121º20'40W ,"['93926', '93960']",, 36.456728, -121.344388
253,Pescadero,Pescadero,North Central Region Office,San Mateo,8/24/2017,12/31/2050,True,True,47,Grass,37º15'19N ,-122º22'15W ,"['94060', '94074', '94019', '94062', '95017', '95060']",, 37.255333, -122.3708
254,Oakland Metro,Oakland,North Central Region Office,Alameda,3/12/2018,12/31/2050,True,True,14,Grass,37º43'5N ,-122º11'50W ,"['94577', '94579', '94603', '94621', '94502']",, 37.718167, -122.197111
255,Chino,Chino,Southern Region Office,San Bernardino,3/8/2018,8/11/2020,False,True,637,Alfalfa,33º59'7N ,-117º39'24W ,"['91708', '91710']",, 33.985350, -117.656528
256,Lancaster,Lancaster,Southern Region Office,Los Angeles,7/26/2018,12/31/2050,True,True,2340,Alfalfa,34º45'34N ,-117º59'31W ,"['93523', '93524', '93535', '93560']",, 34.759475, -117.991997
257,Ridgecrest,Ridgecrest,Southern Region Office,Kern,10/10/2018,12/31/2050,True,True,2234,Grass,35º39'33N ,-117º38'13W ,"['93554', '93555', '93556']",, 35.659128, -117.636925
258,Lemon Cove,Lemon Cove,South Central Region Office,Tulare,11/15/2018,12/31/2050,True,True,498,Grass,36º22'37N ,-119º2'17W ,"['93221', '93244', '93286']",, 36.376917, -119.037972
