StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc,Latitude,Longitude
31,McFarland/Kern Farms,McFarland,South Central Region Office,Kern,1/11/1983,3/8/1993,False,True,480,Grass,35º42'10N ,-119º9'13W ,['93250'],, 35.702722, -119.153550
32,Colusa,Colusa,Northern Region Office,Colusa,1/13/1983,8/12/2016,False,True,55,Grass,39º13'37N ,-122º1'29W ,['95932'],, 39.226861, -122.0248
33,Visalia,Visalia,South Central Region Office,Tulare,1/5/1983,3/1/2007,False,True,350,Grass,36º18'4N ,-119º13'28W ,"['93235', '93223', '93221', '93292', '93291', '93279', '93278', '93277']",, 36.301056, -119.224530
34,Rancho California,Rancho California,Southern Region Office,Riverside,1/21/1983,11/25/1986,False,True,1820,Grass,33º29'19N ,-117º11'55W ,"['92592', '92591', '92590', '92589']",, 33.488611, -117.198610
35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37º21'31N ,-118º24'20W ,"['93515', '93514', '93513', '93512']",, 37.358514, -118.405530
36,Blythe,Blythe,Southern Region Office,Riverside,3/13/1983,8/12/1988,False,True,270,Grass,33º39'17N ,-114º33'29W ,"['92228', '92227', '92226', '92225']",, 33.654722, -114.558060
37,USDA Salinas,Salinas,South Central Region Office,Monterey,4/11/1983,7/27/1992,False,True,120,Grass,36º37'14N ,-121º32'43W ,"['93962', '93915', '93912', '93908', '93907', '93906', '93905', '93902', '93901']",, 36.620556, -121.545280
38,Santa Maria,Santa Maria,Southern Region Office,Santa Barbara,5/3/1983,4/27/1999,False,True,270,Grass,34º57'16N ,-120º23'3W ,"['93458', '93457', '93456', '93455', '93454']",, 34.954444, -120.384170
39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36º35'51N ,-119º30'15W ,"['93662', '93657', '93654', '93618', '93161', '93648']",, 36.597444, -119.504040
40,Mendota/MuriettaUSDA,Mendota,South Central Region Office,Fresno,6/14/1983,4/15/1992,False,True,187,Grass,36º41'0N ,-120º23'14W ,['93668'],, 36.683333, -120.387220
41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33º2'35N ,-115º24'57W ,"['92281', '92257', '92233']",, 33.042986, -115.415850
42,Lodi,Lodi,North Central Region Office,San Joaquin,10/16/1983,1/18/2001,False,True,23,Grass,38º6'34N ,-121º20'46W ,"['95242', '95241', '95240']",, 38.109444, -121.346110
43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41º3'50N ,-121º27'22W ,"['96028', '96056']",, 41.063767, -121.456020
44,U.C. Riverside,Riverside,Southern Region Office,Riverside,6/2/1985,12/31/2050,True,True,1020,Grass,33º57'54N ,-117º20'13W ,"['92522', '92521', '92519', '92518', '92517', '92516', '92515', '92514', '92513', '92509', '92507', '92506', '92505', '92504', '92503', '92502', '92501']",, 33.964942, -117.336980
45,San Diego,San Diego,Southern Region Office,San Diego,6/9/1985,4/27/1989,False,True,370,Grass,32º47'12N ,-117º8'7W ,"['92199', '92198', '92197', '92196', '92195', '92194', '92193', '92192', '92191', '92187', '92186', '92184', '92182', '92179', '92178', '92177', '92176', '92175', '92174', '92173', '92172', '92171', '92170', '92169', '92168', '92167', '92166', '92165', '92164', '92163', '92162', '92161', '92160', '92159', '92158', '92155', '92154', '92153', '92152', '92150', '92149', '92147', '92145', '92143', '92142', '92140', '92139', '92138', '92137', '92136', '92135', '92134', '92133', '92132', '92131', '92130', '92129', '92128', '92127', '92126', '92125', '92124', '92123', '92122', '92121', '92120', '92119', '92118', '92117', '92116', '92115', '92114', '92113', '92112', '92111', '92110', '92109', '92108', '92107', '92106', '92105', '92104', '92103', '92102', '92101']",, 32.786667, -117.135280
46,MacDoel,MacDoel,Northern Region Office,Siskiyou,11/11/1985,6/11/1986,False,True,4254,Grass,41º47'32N ,-122º3'49W ,['96058'],, 41.792222, -122.063610
47,Brentwood,Brentwood,North Central Region Office,Contra Costa,11/18/1985,12/31/2050,True,True,45,Grass,37º55'42N ,-121º39'36W ,"['94548', '94514', '94513']",, 37.928258, -121.6599
48,Tulelake,Tulelake,Northern Region Office,Siskiyou,2/3/1986,9/30/1993,False,True,4042,Grass,42º0'12N ,-121º25'36W ,['96134'],, 42.003333, -121.426670
49,Oceanside,Oceanside,Southern Region Office,San Diego,3/11/1986,10/29/2003,False,False,50,Grass,33º15'21N ,-117º19'11W ,"['92058', '92057', '92056', '92068', '92054', '92052', '92051', '92049']",, 33.255833, -117.319720
50,Thermal,Thermal,Southern Region Office,Riverside,7/22/1986,1/11/1999,False,True,-30,Grass,33º38'47N ,-116º14'30W ,['92274'],, 33.646389, -116.241670
51,Healdsburg,Healdsburg,North Central Region Office,Sonoma,8/24/1986,3/28/1994,False,True,180,Grass,38º39'43N ,-122º52'10W ,['95448'],, 38.661906, -122.869460
52,San Luis Obispo,San Luis Obispo,Southern Region Office,San Luis Obispo,4/2/1986,12/31/2050,True,True,330,Grass,35º18'20N ,-120º39'42W ,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93401']",, 35.305442, -120.661780
53,Greenfield,Greenfield,South Central Region Office,Monterey,10/10/1986,10/23/1991,False,True,270,Grass,36º20'28N ,-121º15'25W ,['93927'],, 36.341111, -121.256940
54,Blackwells Corner,Blackwells Corner,South Central Region Office,Kern,10/19/1986,12/31/2030,True,False,705,Grass,35º38'59N ,-119º57'33W ,['93249'],, 35.649861, -119.9593
55,Palm Desert,Palm Desert,Southern Region Office,Riverside,5/26/1987,4/11/1994,False,True,200,Grass,33º43'50N ,-116º22'57W ,"['92261', '92260', '92255', '92211', '92210']",, 33.730556, -116.3825
56,Los Banos,Los Banos,South Central Region Office,Merced,6/28/1988,10/22/2050,True,True,95,Grass,37º5'48N ,-120º45'14W ,['93635'],, 37.096694, -120.7539
57,Buntingville,Susanville,Northern Region Office,Lassen,6/22/1986,12/31/2030,True,True,4005,Grass,40º17'23N ,-120º26'2W ,"['96136', '96128', '96117', '96114']",, 40.289799, -120.433948
58,Santa Paula,Santa Paula,Southern Region Office,Ventura,7/30/1987,2/15/1991,False,True,175,Grass,34º18'6N ,-119º7'8W ,"['93061', '93060']",, 34.301667, -119.118890
59,Tehachapi,Tehachapi,South Central Region Office,Kern,7/29/1986,8/23/1990,False,True,4110,Grass,35º6'51N ,-118º26'19W ,"['93581', '93561']",, 35.114167, -118.438610
60,Barstow,Barstow,Southern Region Office,San Bernardino,11/20/1986,2/20/1992,False,True,2180,Grass,34º54'12N ,-117º6'54W ,"['92312', '92311', '92310']",, 34.903333, -117.1150
61,Orland,Orland,Northern Region Office,Glenn,5/13/1987,5/26/2010,False,False,198,Grass,39º41'31N ,-122º9'13W ,['95963'],, 39.691822, -122.153510
62,Temecula,Rancho California,Southern Region Office,Riverside,11/25/1986,12/31/2030,True,True,1420,Grass,33º29'12N ,-117º13'42W ,"['92592', '92591', '92590', '92589', '96593']",, 33.486650, -117.228270
63,Novato,Novato,North Central Region Office,Marin,7/1/1986,1/18/2002,False,True,25,Grass,38º7'18N ,-122º32'38W ,"['94998', '94949', '94948', '94947', '94945']",, 38.121739, -122.543780
64,Santa Ynez,Santa Ynez,Southern Region Office,Santa Barbara,11/21/1986,12/31/2050,True,True,490,Grass,34º34'59N ,-120º4'45W ,['93460'],, 34.583144, -120.079240
